,Company,Date,Open,High,Low,Adj Close,Volume,H-L,O-AdjC,7 Day MA,14 Day MA,21 Day MA,7 Days Standard Deviation,Increase
107,IMKTA,2010-06-08,14.98,14.98,14.6,10.599485,24700,0.3800000000000008,4.380515000000001,39257.142857142855,41907.142857142855,37261.90476190476,8836.589054745556,False
881,WMK,2013-07-05,46.349998,46.349998,45.299999,36.355442,21200,1.0499989999999997,9.994556000000003,26328.571428571428,26007.14285714286,24309.52380952381,8865.295786816992,True
625,SPTN,2012-06-26,17.360001,17.41,17.139999,12.897198,47200,0.2700010000000006,4.462803000000001,56800.0,51471.42857142857,59933.333333333336,18549.162476279856,True
2201,KR,2018-10-01,29.15,29.26,28.74,26.710032,7692700,0.5200000000000031,2.439967999999997,8813542.857142856,8575557.142857144,8396628.57142857,2999287.7110870094,True
2232,SPTN,2018-11-13,17.58,17.83,17.219999,15.002122,214100,0.6100009999999969,2.5778779999999983,239200.0,200921.42857142858,186109.52380952382,104273.40436152862,False
1129,TGT,2014-06-30,58.09,58.5,57.84,46.46273,4864300,0.6599999999999966,11.627270000000003,4069257.1428571427,4372007.142857143,4237433.333333333,744155.0546130305,True
9,TGT,2010-01-15,49.860001,50.32,49.790001,36.446297,9093100,0.5299990000000037,13.413703999999996,10076342.857142856,10288557.142857144,8790842.857142856,1550812.0221881391,True
65,IMKTA,2010-04-08,15.5,15.51,15.22,11.198771,59300,0.28999999999999915,4.301228999999999,40342.857142857145,38135.71428571428,38233.333333333336,13661.714715934886,False
2457,BIG,2019-10-08,20.83,20.91,20.4,18.834085,847500,0.5100000000000016,1.9959149999999966,708614.2857142857,998550.0,915542.8571428572,111327.88674607516,True
1021,BIG,2014-01-24,28.16,28.200001,27.25,22.446033,1619200,0.9500010000000003,5.713967,1253285.7142857143,1159285.7142857143,1161033.3333333333,347724.5643509547,True
630,VLGEA,2012-07-03,32.98,33.93,32.970001,23.168093,20400,0.9599989999999963,9.811906999999998,19314.285714285714,19378.571428571428,19647.619047619046,8302.569063923798,True
939,WMK,2013-09-26,50.25,50.740002,49.279999,40.135216,17900,1.4600030000000004,10.114784,19685.714285714286,19414.285714285714,20547.619047619046,6928.910153723119,False
963,SPTN,2013-10-30,24.110001,24.299999,23.879999,18.503298,117500,0.41999999999999815,5.6067029999999995,99271.42857142857,85821.42857142857,142195.2380952381,33200.9773645172,False
529,WMT,2012-02-08,61.91,62.02,61.23,48.920731,7260000,0.7900000000000063,12.989268999999993,5950328.571428572,10728285.714285715,10915857.142857144,1045071.0922014359,True
1927,KR,2017-08-29,21.709999,21.93,21.6,19.862978,8744700,0.3299999999999983,1.8470210000000016,13768028.57142857,17654292.85714286,16990747.61904762,3703177.8112913803,True
1284,BIG,2015-02-10,47.41,47.91,46.959999,39.078358,501100,0.9500009999999932,8.331641999999995,669657.1428571428,685764.2857142857,1036904.7619047619,358153.8570309169,True
1258,SPTN,2015-01-02,26.15,26.59,25.65,20.334845,129100,0.9400000000000013,5.815154999999997,191757.14285714287,189435.7142857143,166523.80952380953,73556.44785066883,False
1541,COST,2016-02-18,149.130005,149.839996,146.820007,131.351563,2894300,3.0199890000000096,17.778442000000013,2502242.8571428573,2877471.4285714286,2457542.8571428573,650278.4543280404,True
1980,TGT,2017-11-13,61.400002,61.950001,60.150002,53.972626,6608800,1.7999989999999997,7.427376000000002,13313457.142857144,11328971.42857143,9549128.57142857,9445445.364355268,True
1,IMKTA,2010-01-05,15.1,15.24,14.91,10.659627,36800,0.33000000000000007,4.440372999999999,56757.142857142855,58828.57142857143,55814.28571428572,35206.77114837255,False
1666,TGT,2016-08-16,75.480003,76.080002,75.120003,64.827271,6924200,0.9599989999999963,10.652732,8581357.142857144,6876185.714285715,7101576.19047619,4981636.724685442,False
44,SPTN,2010-03-09,14.06,14.42,14.0,10.268927,381600,0.41999999999999993,3.791073000000001,218757.14285714287,156085.7142857143,141647.61904761905,145874.53373305683,False
1250,COST,2014-12-19,141.5,142.5,141.330002,119.66922,4030000,1.1699979999999925,21.830780000000004,1679085.7142857143,1890892.857142857,1873628.5714285714,1003034.5064974034,True
284,KR,2011-02-17,11.505,11.6,11.43,9.474914,20842600,0.16999999999999993,2.0300860000000007,17195457.14285714,21137457.14285714,20030533.333333332,3958415.6610070807,True
875,COST,2013-06-26,110.449997,111.470001,110.099998,92.311279,1539200,1.370002999999997,18.138717999999997,1260900.0,1372964.2857142857,1363571.4285714286,345532.2767640011,True
1124,VLGEA,2014-06-23,23.870001,24.200001,23.65,17.688595,16200,0.5500010000000017,6.181405999999999,39514.28571428572,25535.714285714286,21095.238095238095,51799.92908355401,False
1759,SPTN,2016-12-28,39.439999,39.66,38.990002,32.311749,116200,0.6699979999999996,7.128250000000001,173914.2857142857,170942.85714285713,156033.33333333334,48480.34737532987,True
196,IMKTA,2010-10-13,17.299999,17.93,17.1,13.297619,26900,0.8299999999999983,4.0023800000000005,24171.428571428572,21207.14285714286,23190.47619047619,7900.942852545111,True
2260,IMKTA,2018-12-26,26.0,27.77,25.74,26.248365,78800,2.030000000000001,-0.24836499999999972,76228.57142857143,65807.14285714286,62504.76190476191,16174.29303252667,False
33,WMK,2010-02-22,34.419998,34.470001,34.299999,23.617832,29900,0.17000200000000376,10.802166,64500.0,54057.142857142855,64023.80952380953,44360.085018596874,False
854,TGT,2013-05-28,70.300003,71.040001,69.230003,54.209175,6160200,1.8099980000000073,16.090828000000002,5852885.714285715,5000928.571428572,4692195.238095238,1010654.2229503357,False
2207,COST,2018-10-09,224.149994,225.149994,222.559998,212.051041,2502800,2.589995999999985,12.098952999999995,2774085.714285714,2722964.285714286,2661209.523809524,479679.5580044525,False
2208,VLGEA,2018-10-10,24.92,25.43,24.870001,21.831409,15700,0.5599990000000012,3.088591000000001,32457.14285714286,28507.14285714286,30885.714285714286,10304.625472206595,False
2182,KR,2018-09-04,31.540001,31.940001,31.530001,29.636522,8774500,0.41000000000000014,1.9034790000000008,9625800.0,12980885.714285715,11552871.42857143,2619346.597913304,True
1984,KR,2017-11-17,22.33,23.469999,22.27,21.441195,19798700,1.1999990000000018,0.8888049999999978,11137100.0,16289892.857142856,14136361.904761905,4974254.697942195,False
957,IMKTA,2013-10-22,26.17,26.360001,25.370001,22.540863,50900,0.990000000000002,3.629137,37085.71428571428,52892.857142857145,47495.23809523809,9204.258109534889,False
1483,SPTN,2015-11-23,22.790001,23.08,22.5,18.280684,149400,0.5799999999999983,4.509316999999999,260742.85714285713,266264.28571428574,278747.61904761905,210095.3787289604,False
1401,TGT,2015-07-29,80.690002,82.019997,80.599998,67.620003,5323500,1.4199990000000042,13.06999900000001,3987142.8571428573,3796907.1428571427,5870028.571428572,825649.1331191526,True
1663,BIG,2016-08-11,54.450001,55.900002,53.98,46.114452,1344500,1.9200020000000038,8.335549,892642.8571428572,1492721.4285714286,1339466.6666666667,315779.9227180803,True
1078,VLGEA,2014-04-16,25.25,25.77,25.25,18.925095,10500,0.5199999999999996,6.324905000000001,17671.428571428572,22485.714285714286,23176.190476190477,7833.57504331092,False
1062,VLGEA,2014-03-25,27.1,27.4,26.450001,19.611301,29700,0.9499989999999983,7.488699,22557.14285714286,22371.428571428572,20180.95238095238,7514.149917295491,False
